N01,Black,!,58,61,65,214.29,0.06,0.24,25.62,-0.30,-2.89,LThanda
N02,Dark Brown,#,80,68,59,25.71,0.15,0.27,29.80,3.47,7.34,LThanda
N03,Brown Medium,$,90,62,54,13.33,0.25,0.28,29.12,11.08,9.80,LThanda
N04,Maroon,%,129,53,71,345.79,0.42,0.36,33.28,34.62,5.48,LThanda
N05,Caramel,',167,98,36,28.40,0.65,0.40,48.36,23.04,45.16,LThanda
N06,Tan,(,173,150,126,30.64,0.22,0.59,63.51,4.78,15.82,LThanda
N07,Sand,),238,177,130,26.11,0.76,0.72,76.82,16.60,32.69,LThanda
N08,Ash,*,141,139,127,51.43,0.06,0.53,57.71,-1.49,6.68,LThanda
N09,Hunter Green,+,47,74,57,142.22,0.22,0.24,28.90,-14.53,6.95,LThanda
N10,Light Grey,-,211,203,203,0.00,0.08,0.81,82.31,2.77,0.98,LThanda
N11,Purple,.,100,69,145,264.47,0.36,0.42,36.00,30.08,-37.32,LThanda
N12,Ivory,/,226,208,191,29.14,0.38,0.82,84.51,3.48,10.69,LThanda
N13,Orange,0,243,96,27,19.17,0.90,0.53,59.43,53.70,62.67,LThanda
N14,Yellow,1,249,202,0,48.67,1.00,0.49,83.12,2.14,84.19,LThanda
N15,White,2,244,244,243,60.00,0.04,0.95,96.16,-0.17,0.47,LThanda
N16,Green,3,41,122,59,133.33,0.50,0.32,45.23,-38.90,27.32,LThanda
N17,Bright Blue,4,59,117,203,215.83,0.58,0.51,49.45,9.94,-50.17,LThanda
N18,Light Rose,5,225,180,171,10.00,0.47,0.78,77.04,14.94,10.77,LThanda
N19,Red,6,223,38,56,354.16,0.74,0.51,48.71,68.33,38.02,LThanda
N20,Light Brown,7,181,139,105,26.84,0.34,0.56,61.05,11.45,24.33,LThanda
N21,Light Yellow,8,245,236,141,54.81,0.84,0.76,92.28,-9.95,47.02,LThanda
N22,Lime,9,72,175,79,124.08,0.42,0.48,63.84,-49.67,40.02,LThanda
N23,Medium Blue,:,113,163,230,214.36,0.70,0.67,66.07,1.83,-38.89,LThanda
N24,Lavender,;,182,160,219,262.37,0.45,0.74,69.61,19.66,-26.98,LThanda
N25,Pink,=,238,106,151,339.55,0.80,0.67,62.27,55.19,0.90,LThanda
N26,Peach,?,252,168,121,21.53,0.96,0.73,76.12,26.05,36.82,LThanda
N27,Chocolate,@,135,95,82,14.72,0.24,0.43,44.15,14.52,13.93,LThanda
N28,Sky,A,167,198,241,214.86,0.73,0.80,79.02,-0.59,-24.63,LThanda
N29,Gold,B,238,149,39,33.17,0.85,0.54,69.34,25.78,66.41,LThanda
N30,Kiwi,C,199,191,94,55.43,0.48,0.57,76.20,-10.02,49.30,LThanda
